tanggal,harga
2019-01-02,12000
2019-01-03,12000
2019-01-04,12000
2019-01-07,12000
2019-01-08,12000
2019-01-09,12000
2019-01-10,12000
2019-01-11,12000
2019-01-17,12000
2019-01-18,12000
2019-01-21,12000
2019-01-23,12000
2019-01-24,12000
2019-01-25,12050
2019-01-29,12200
2019-01-30,12250
2019-01-31,12250
2019-02-01,12250
2019-02-04,12200
2019-02-06,12250
2019-02-07,12250
2019-02-08,11950
2019-02-11,12250
2019-02-12,12250
2019-02-13,12250
2019-02-14,12250
2019-02-15,12250
2019-02-18,12250
2019-02-19,11950
2019-02-20,12250
2019-02-21,12250
2019-02-22,12250
2019-02-25,12300
2019-02-26,12300
2019-02-27,12200
2019-02-28,12200
2019-03-01,11450
2019-03-04,12250
2019-03-11,12100
2019-03-12,12250
2019-03-13,12250
2019-03-14,12300
2019-03-21,12250
2019-03-22,12250
2019-03-25,12250
2019-03-26,12250
2019-03-27,12250
2019-03-28,12250
2019-03-29,12250
2019-04-02,12250
2019-04-05,12200
2019-04-08,12250
2019-04-09,12200
2019-04-10,12250
2019-04-11,12250
2019-04-12,12200
2019-04-16,11700
2019-04-18,11700
2019-04-22,11700
2019-04-23,11550
2019-04-24,11550
2019-04-25,11700
2019-04-26,11700
2019-04-29,11700
2019-04-30,11700
2019-05-02,11750
2019-05-03,11750
2019-05-06,11750
2019-05-07,12150
2019-05-08,12100
2019-05-09,12100
2019-05-10,12100
2019-05-13,12100
2019-05-14,11750
2019-05-15,11750
2019-05-16,11750
2019-05-17,11750
2019-05-20,12100
2019-05-21,11750
2019-05-22,11800
2019-05-23,11750
2019-05-24,11750
2019-05-27,11750
2019-05-28,11750
2019-05-29,11750
2019-05-31,11750
2019-06-10,11700
2019-06-11,11700
2019-06-12,11700
2019-06-13,11700
2019-06-14,12050
2019-06-17,12050
2019-06-18,11700
2019-06-19,12050
2019-06-20,12050
2019-06-21,12050
2019-06-24,12050
2019-06-25,12050
2019-06-26,12050
2019-06-27,12050
2019-06-28,12050
2019-07-01,12050
2019-07-02,12150
2019-07-03,12050
2019-07-04,12100
2019-07-05,12100
2019-07-08,12100
2019-07-09,12050
2019-07-10,12100
2019-07-11,12100
2019-07-12,12100
2019-07-15,12200
2019-07-16,12200
2019-07-17,12200
2019-07-18,12200
2019-07-19,12200
2019-07-22,12200
2019-07-23,12200
2019-07-24,12200
2019-07-25,12200
2019-07-26,12200
2019-07-29,11850
2019-07-30,11850
2019-07-31,11850
2019-08-01,12200
2019-08-02,12200
2019-08-05,11850
2019-08-06,11550
2019-08-07,11850
2019-08-08,11450
2019-08-09,11450
2019-08-12,12200
2019-08-13,12200
2019-08-14,12150
2019-08-15,11800
2019-08-16,11850
2019-08-19,11850
2019-08-20,11850
2019-08-21,11850
2019-08-22,11850
2019-08-23,11850
2019-08-26,11850
2019-08-27,11850
2019-08-28,11850
2019-08-29,11850
2019-08-30,11850
2019-09-02,11850
2019-09-03,11850
